order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,city,country,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
42,193,Danielle Meister,3452405980253,Bookless in Baghdad,nonfiction,3,9,$21.99,2021-11-18 04:04:25,New York,United States,Kidsbooks.com,9f66b6ed-c7a0-4b5f-befb-84bbc98e4fc3,Y,
43,249,Aurore Jockel,3893055508242,Veteran,fiction,3,10,$18.99,2021-06-07 15:19:34,Merida,Mexico,Waterstones.com,14b39b50-9e11-4822-8a38-17aacc528421,Y,
44,253,María José Faust,9583000237931,Pointers in C,computer_science,3,6,$16.99,2021-11-20 17:05:43,San Jose,United States,Powellsbooks.com,7c2e8773-93e9-427f-bebc-239b1b835623,N,Card declined
45,312,Benvenuto Terán,6029061126485,Soft Computing & Intelligent Systems,data_science,2,1,$37.99,2021-05-13 03:04:59,Uyo,Nigeria,Mcnallyrobinson.com,dc746f62-d9e3-46a4-9f63-5e59275b9d8a,N,Failed to connect to server
46,18,Dario Potier,1448580997348,Simpsons & Their Mathematical Secrets,science,1,3,$36.99,2021-12-06 14:46:29,Valencia,Spain,Thriftbooks.com,c346c8c8-f595-4b47-9d50-18299e051bfc,Y,
47,431,Pamela Burgos,2821691972999,Hunchback of Notre Dame,fiction,2,10,$24.99,2021-04-25 07:50:32,Barcelona,Spain,Mcnallyrobinson.com,6c677cc9-54d0-4e1e-a0eb-da645bc66068,Y,
48,33,Bluette Mies,4828298887549,Girl who played with Fire,fiction,1,2,$15.99,2021-07-20 14:23:16,lokoja,Nigeria,ChronicleBooks.com,08f8ff17-aefb-4560-ae90-7d1cb7866a3f,N,Card declined
49,66,David Hentschel,7751591795334,How to Think Like Sherlock Holmes,psychology,1,5,$24.99,2021-01-06 22:28:04,Jos,Nigeria,Audiobooks.com,e3b0f105-bde6-4b0f-8d0b-4515103191de,N,Failed to connect to server
50,409,Jovan Krause,9269471180135,False Impressions,fiction,3,8,$26.99,2021-05-25 04:58:14,Enugu,Nigeria,Thestrand.com,4f0b3d6d-27c1-49ee-907f-4e2ba4061433,Y,
51,257,Ewa Ruiz,2320947112207,Drunkard's Walk,science,3,10,$27.99,2021-02-05 04:53:24,Bologna,Italy,Chapters.indigo.ca,d4fd146c-92dd-4796-895b-5ad2058ea761,N,Card declined
52,218,Elena Camiscione,3760314122702,India's Legal System,nonfiction,2,4,$15.99,2021-04-23 11:51:55,Leeds,England,Hudsonbooksellers.com,fd3ebab1-4212-4490-be83-e399ea398400,N,Failed to connect to server
53,432,Alfio Pizarro,3965747274558,Girl with the Dragon Tattoo,fiction,1,7,$16.99,2021-08-24 21:39:25,Stuttgart,Germany,Wordery.com,5d843776-9aca-462d-8da9-bf6496e9112b,Y,
54,336,Rocco Schmidt,7168861197529,Courtroom Genius,nonfiction,2,3,$26.99,2021-04-28 10:57:51,Chicago,United States,Thestrand.com,193fe0d0-b7bf-4fdd-8552-ff3d83af567d,Y,
55,33,Bluette Mies,6408115517026,Veil: Secret Wars of the CIA,history,2,5,$27.99,2021-11-17 09:44:48,lokoja,Nigeria,Booksamillion.com,9a6c40d6-46be-48ed-a635-e6cc5a8497bc,N,Failed to connect to server
56,31,Angela Montez,9676993002485,Jurassic Park,fiction,2,3,$34.99,2021-04-03 19:11:28,Tavira,Portugal,Booksamillion.com,afc43ab4-8dfe-482b-a347-a793dbedc419,Y,
57,28,Imelda Saldivar,1868483396947,Image Processing & Mathematical Morphology,signal_processing,3,8,$40.99,2021-06-12 06:47:37,Turin,Italy,Kidsbooks.com,ac8c83b5-f8f7-4f91-a443-64d70365cf2e,Y,
58,367,Eric Zollinger,5233769606960,Physics & Philosophy,science,3,3,$18.99,2021-11-11 16:26:10,Rome,Italy,Barnesandnoble.com,29cf535a-71fa-4a42-8319-234e93362233,Y,
59,238,Susan Schlosser,0456007154275,Burning Bright,fiction,1,8,$29.99,2021-01-19 06:22:42,Abuja,Nigeria,Bookoutlet.com,401ea9ba-ba09-4ddd-8d34-d7f909968b4d,Y,
60,10,Luitgard García,2320947112207,Drunkard's Walk,science,1,10,$27.99,2021-08-28 18:35:20,Abuja,Nigeria,Kidsbooks.com,d559d539-b78a-49ca-96e1-6a21d7943db2,Y,
61,358,Adem Scarlatti,6711688222328,Killing Joke,comic,1,6,$30.99,2021-03-17 17:17:09,Toulouse,France,Target.com,f3d18c9d-7756-4cc6-a3e7-fb57d98bb8e3,N,Failed to connect to server
62,451,Beth Kägi,2087091634572,Age of Wrath,history,2,10,$31.99,2021-09-30 04:05:30,Hiroshima,Japan,Daedalus Books,4788d58e-f6e3-4885-9cbe-7103bfbf0334,Y,
63,333,Hanife Casini,7176045229614,Wealth of Nations,economics,2,10,$38.99,2021-04-26 02:31:16,Salamanca,Spain,Audiobooksnow.com,3fb5a9c8-cd68-4079-b05e-ca7319da42f9,N,Failed to connect to server
64,469,Aldemar Käser,4364000415582,Dongri to Dubai,nonfiction,1,2,$18.99,2021-07-21 13:29:55,cambridge,England,ChronicleBooks.com,7d6b17a9-0ccc-460d-be51-7c782d7a608a,N,Card declined
65,400,Victoire Hofmann,4870898407610,Doctor in the Nude,fiction,2,8,$34.99,2021-05-25 07:23:30,Lille,France,Audiobooks.com,bc4af849-47d9-4185-b3ea-427cb3a48ce5,Y,
66,404,Ljubisa Noël,6802199317303,Statistical Learning Theory,data_science,1,2,$22.99,2021-01-18 08:05:00,Osaka,Japan,Abebooks.com,3c229891-2f4c-4da7-b8c4-f5cffdfb9177,Y,
67,483,Cristobal Klapp,1663763637693,Doctor on the Brain,fiction,3,10,$21.99,2021-08-11 01:31:57,Leon,Mexico,Amazon.com,910fb5ef-836a-46ef-8ada-1c6839f88a30,Y,
68,399,Lieselotte Chávez,3950760334525,Rosy is My Relative,fiction,1,9,$31.99,2021-06-13 03:43:09,Turin,Italy,Thestrand.com,a279b770-1c5b-4538-b3c8-d3560144919a,Y,
69,74,Clémence Siegrist,3058235703934,Zen & The Art of Motorcycle Maintenance,philosophy,1,10,$20.99,2021-06-13 21:51:06,Turin,Italy,Albris.com,15ca0bd3-a72d-4f41-b857-4f611a5bb9ce,N,Failed to connect to server
70,50,Santiago Gaitán,2129188966446,Maugham's Collected Short Stories,fiction,3,3,$24.99,2021-10-13 03:58:46,Salamanca,Spain,Ebay.com,faff6379-efe0-4438-90c9-5f46e794fe95,N,Failed to connect to server
71,213,Gregory Lagarde,9894719659342,Integration of the Indian States,history,1,8,$30.99,2021-12-24 00:19:57,Uyo,Nigeria,ChronicleBooks.com,5599ef11-7780-4af3-b9d1-3eaadec974fd,N,Failed to connect to server
72,180,Éric Benavides,0715084237593,Data Mining Handbook,data_science,2,2,$19.99,2021-05-20 12:29:00,cambridge,England,Mcnallyrobinson.com,df0119fd-a60e-4e48-a5c8-936d89d77dde,Y,
73,91,Viviane Walter,8242194892418,Data Smart,data_science,1,4,$39.99,2021-11-15 01:41:44,San Diego,United States,Barnesandnoble.com,0d14c74d-eaba-4bad-9359-9000ba7ccd25,Y,
74,106,Senad Gasser,9230310450931,In a Free State,fiction,3,2,$15.99,2021-10-18 11:38:57,Turin,Italy,Ebay.com,9eb58b91-ed07-445e-bb7f-02b8f66ed883,Y,
75,12,Antonia Pérez,8511496356233,Journal of Economics,economics,1,4,$21.99,2021-11-30 16:05:49,Tokyo,Japan,Kidsbooks.com,27121ce4-6ade-41ee-aeef-eacb6fbb46dd,Y,
76,244,Fernando Schiavone,1237933236599,Freedom at Midnight,history,2,5,$18.99,2021-02-20 13:09:27,Munich,Germany,Ebay.com,ef4e9806-7f2c-4413-864b-d6d20c1d3ac9,N,Failed to connect to server
77,242,James Seguin,9184567088693,Ahe Manohar Tari,nonfiction,1,5,$19.99,2021-12-30 22:39:18,Phoenix,United States,Hudsonbooksellers.com,f7a549ad-d465-46e7-ac99-3dd426d28e8d,Y,
78,303,Marian Valette,5233769606960,Physics & Philosophy,science,2,2,$18.99,2021-07-27 02:02:38,Birmingham,England,Wordery.com,544a0be9-79b7-4d64-87f8-35e3d7dba9cd,Y,
79,459,Margaret Flynn,3893055508242,Veteran,fiction,1,3,$18.99,2021-11-09 09:27:39,Frankfurt,Germany,Booktopia.com,74133751-b199-42f5-af49-3f6967d74d90,Y,
80,121,Virginie Concepción,3760314122702,India's Legal System,nonfiction,1,3,$15.99,2021-04-24 00:52:16,Tavira,Portugal,Barnesandnoble.com,d458b89a-08e1-4620-bbbe-5e6d142fad04,Y,
81,440,Ivo Pizzamano,7793615349260,Mein Kampf,nonfiction,1,10,$36.99,2021-01-08 23:32:10,Birmingham,England,Target.com,c94d4b8f-502f-4c41-a574-c8b18a3a812b,Y,
82,67,Luz Jüttner,4064488855367,Phantom of Manhattan,fiction,1,5,$20.99,2021-08-02 21:36:55,New York,United States,Costco.com,848e300d-65f3-4dfd-acb2-9debedf92eeb,Y,
83,302,María Raynaud,2082965708694,Ashenden of The British Agent,fiction,2,5,$21.99,2021-09-05 08:57:13,Evora,Portugal,Barnesandnoble.com,1531ec47-593c-4e18-a802-24445e068d00,Y,
84,323,Benjamin Collet,6237625425664,Theory of Everything,science,2,9,$34.99,2021-01-23 11:16:02,Marseille,France,Target.com,ce35a226-b8e3-4dff-8929-27d80f263e3b,Y,
85,492,Malika Rousset,3236397524585,Arthashastra,philosophy,2,6,$18.99,2021-06-21 09:11:23,Benin city,Nigeria,Amazon.com,e0aad04e-8cd0-495c-9a75-323fbcfcd58d,Y,
86,46,Barbara Masson,1830675375108,Asami Asami,fiction,3,2,$31.99,2021-04-18 13:32:59,Porto,Portugal,Bookoutlet.com,260f87a3-b844-44b5-8551-ac946f066c17,Y,
87,78,Cécile Gussoni,9669684933632,Girl who kicked the Hornet's Nest,fiction,2,8,$36.99,2021-12-27 12:05:12,Bordeaux,France,Target.com,c590302f-5e80-423b-ae4c-8df1d2ed1397,Y,
88,221,Rosa-Maria Castaño,2560976701724,Freakonomics,economics,2,4,$32.99,2021-06-26 02:25:57,San Jose,United States,Amazonbooks.com,d69350ba-c906-448b-a24e-2da28fe1f333,N,Card declined
89,236,Noël Rivero,6802199317303,Statistical Learning Theory,data_science,1,2,$22.99,2021-07-07 16:34:13,Mexico City,Mexico,Audiobooks.com,514cc50b-2831-4523-b025-19ffd4cd400c,Y,
90,425,Zoé Guyot,7036954103903,Ayn Rand Answers,philosophy,2,8,$36.99,2021-08-29 07:01:58,Marseille,France,Daedalus Books,b402972c-a007-49dd-bb74-934ec6c9e46d,Y,
91,58,José Pisaroni,4802362382925,Angels & Demons,fiction,3,5,$37.99,2021-07-31 17:42:28,Lisbon,Portugal,Hive.com,a248afdd-60a4-4737-87f9-6ab6cbd44209,Y,
92,384,Aldo Restrepo,8185011695970,To Sir With Love,fiction,3,2,$19.99,2021-09-21 09:05:02,Leon,Mexico,Powellsbooks.com,7ea84321-7d45-4b83-9f85-8a1c2c271673,N,Card declined
93,390,Annalisa Wegmann,2250909255447,Beyond the Three Seas,history,3,5,$25.99,2021-09-03 11:16:42,Kure,Japan,Ebay.com,8a391cd9-7f0d-4d49-a187-f11b988df4ac,Y,
94,20,Ricardo Gasperi,6448298381687,Crime and Punishment,fiction,2,7,$38.99,2021-07-24 07:37:30,Nice,France,Wordery.com,2c422f51-8a0a-4d3d-8bea-db0b19cd1952,Y,
95,52,Carlos Mosemann,4038249066491,History of England,history,3,5,$16.99,2021-05-18 09:51:37,Brighton,England,Booksamillion.com,0a0582fd-364e-43fb-8eb4-aaa3c0a3dec6,N,Card declined
96,43,Raquel Girón,1868483396947,Image Processing & Mathematical Morphology,signal_processing,2,2,$40.99,2021-11-04 16:10:44,Evora,Portugal,Thriftbooks.com,2ec5a31a-8a1f-44fc-97cb-a791c77ebd71,Y,
97,60,Marleen Bianchi,0956180260669,Pattern Classification,data_science,2,4,$33.99,2021-12-12 21:54:56,Kamakura,Japan,Audiobooks.com,01b87722-dce8-45f4-9a06-9119e779775f,Y,
98,440,Ivo Pizzamano,9184567088693,Ahe Manohar Tari,nonfiction,3,5,$19.99,2021-07-21 21:12:18,Birmingham,England,Kidsbooks.com,b213e9fa-4eaf-4f76-8bef-82210efff39d,Y,
99,107,Adrien Petit,6179722576293,From Beirut to Jerusalem,history,3,2,$28.99,2021-06-09 12:58:31,Munich,Germany,Waterstones.com,bbd52568-7c2b-4c42-b9d7-ced10dfaa5fc,Y,
100,398,Adriano Adame,0925554842077,Tales of Beedle the Bard,fiction,3,5,$40.99,2021-04-24 12:00:22,Florence,Italy,Daedalus Books,89b47f65-c233-4d24-b26a-c12dd45ed247,Y,
101,70,Piero Lenoir,8809189163481,Return of the Primitive,philosophy,3,2,$25.99,2021-09-28 16:48:30,Jos,Nigeria,Bookoutlet.com,56ef2183-8601-41d5-908f-979962a73aa7,Y,
102,239,Laura Tanguy,3039213765823,Surely You're Joking Mr Feynman,science,2,9,$30.99,2021-09-17 12:37:10,New York,United States,Booksamillion.com,3d2aea7a-cfdb-40c3-a39b-e1aac583911d,Y,
103,380,Nicholas Casillas,2129188966446,Maugham's Collected Short Stories,fiction,2,4,$24.99,2021-07-05 03:18:29,Porto,Portugal,Powellsbooks.com,d1f2d869-4d84-4c53-a847-e7d34b793648,Y,
104,252,Miguel Ledoux,1877278526469,Empire of the Mughal - Raiders from the North,history,2,1,$28.99,2021-06-22 10:12:35,Lisbon,Portugal,Booksamillion.com,313182b7-9aa6-4d77-ad9a-e6f928390e65,Y,
105,26,Kreszentia Dos Santos,8017563609061,Grapes of Wrath,fiction,1,4,$18.99,2021-01-10 22:06:48,Florence,Italy,Barnesandnoble.com,89f5a5f6-c7cd-4842-87cd-1decd5c5964c,Y,
106,433,Larry Jacquet,1448580997348,Simpsons & Their Mathematical Secrets,science,3,2,$36.99,2021-09-24 18:19:52,Lyon,France,ChronicleBooks.com,9259c7b0-c545-4589-ade8-761b0d933027,Y,
107,473,Aimée Garcia,3260583528897,Hafasavnuk,fiction,3,7,$37.99,2021-01-03 11:52:15,Nice,France,Barnesandnoble.com,deddf3e2-6398-4198-90a2-1d0ec2fabeb3,Y,
108,1,Florin Vaillant,7608116050198,Idea of Justice,nonfiction,3,5,$21.99,2021-10-10 09:03:45,Abuja,Nigeria,Booktopia.com,22f4f610-9a2e-44f7-a3d4-650b2ee7efb3,Y,
109,147,Nicolas Studer,0740899331884,Journal of a Novel,fiction,2,2,$23.99,2021-06-18 13:20:58,Merida,Mexico,Daedalus Books,3e1d7695-7b5d-460c-bbc8-299d53df2ed1,Y,
110,86,Adriana Badoglio,0191263340887,World's Greatest Trials,history,2,7,$24.99,2021-09-09 15:50:38,Lyon,France,Chapters.indigo.ca,4021722f-49fb-49bf-acb6-a38a89227716,Y,
111,477,Jolanda Echeverría,7187656016920,Data Analysis with Open Source Tools,data_science,1,3,$18.99,2021-07-23 13:32:33,Paris,France,Amazonbooks.com,dfdf060d-41eb-4ebf-8a18-bdc3d209c97f,Y,
112,227,Tania Stahr,9271908957746,Winter of Our Discontent,fiction,3,7,$32.99,2021-06-15 22:38:00,Aviero,Portugal,Audiobooksnow.com,983ee3c6-0db9-4b3c-b60d-9319e0fca47f,Y,
113,112,Gotthold Löchel,9669684933632,Girl who kicked the Hornet's Nest,fiction,1,4,$36.99,2021-06-20 14:18:43,Frankfurt,Germany,Amazon.com,5897436c-bf49-40a0-a126-063a4e7f04dc,Y,
114,463,Lioba Almonte,3852654760482,Age of Discontuinity,economics,1,1,$17.99,2021-04-01 21:18:38,mainz,Germany,Waterstones.com,bc51c8fb-07fb-4f42-bc2a-3b92c0ff65ec,Y,
115,186,Raffaele Widmer,0869141314564,Structure & Interpretation of Computer Programs,computer_science,1,3,$21.99,2021-04-01 12:18:55,Lisbon,Portugal,Hive.com,143ceff0-e2db-4763-b7e7-23e9e5d33995,Y,
116,360,Porfirio Ullmann,0199226066959,Short History of the World,history,1,5,$40.99,2021-10-27 14:15:15,Zopopan,Mexico,Barnesandnoble.com,fb0b1855-43a2-4b98-b7ab-49be2924068b,Y,
117,323,Benjamin Collet,7036954103903,Ayn Rand Answers,philosophy,3,9,$36.99,2021-09-16 12:07:04,Marseille,France,Waterstones.com,66e9fd6d-a130-4748-b641-21f74ce01a3c,N,Failed to connect to server
118,232,Achille Chen,2690578771082,Deceiver,fiction,2,5,$36.99,2021-10-01 10:50:39,Yokohama,Japan,Powellsbooks.com,858ec03b-07ea-490c-b98c-d428f9f9ce5b,Y,
119,21,Diana Gómez,0413525601230,Data Scientists at Work,data_science,3,1,$30.99,2021-03-05 05:56:32,Stuttgart,Germany,Barnesandnoble.com,e5262ba9-fa5a-4b2a-8a1a-5abdf07b0cca,Y,
120,3,Christophe Gallego,3039213765823,Surely You're Joking Mr Feynman,science,3,2,$30.99,2021-11-02 12:22:58,Nantes,France,Costco.com,c1015561-c179-430b-a7a4-32aba07f77be,Y,
121,203,Marthe Laporte,2585826843652,Batman Earth One,comic,1,4,$35.99,2021-06-26 04:49:45,Yokohama,Japan,Amazon.com,62f0de87-5af2-4ec9-933b-d4cf39937390,Y,
122,310,Matthew Oscuro,0271427878903,Making Software,computer_science,2,6,$34.99,2021-05-06 09:54:58,Liverpool,England,Hudsonbooksellers.com,6f5cb414-e35f-4638-bfba-de04c1e1c9b9,Y,
123,130,Manuel Parra,9894719659342,Integration of the Indian States,history,1,9,$30.99,2021-01-18 05:23:43,Guimaraes,Portugal,Amazon.com,2f73861d-535a-4039-b89a-05bfdd799987,Y,
124,445,Simone Verduzco,1448580997348,Simpsons & Their Mathematical Secrets,science,3,6,$36.99,2021-03-14 22:17:00,Paris,France,Indiebound.com,b4ffcdd9-172c-40a2-add4-41ec798cd6e4,Y,
125,373,Kenneth Klotz,0190412438857,We the Nation,philosophy,2,5,$17.99,2021-05-02 06:12:50,Florence,Italy,Thestrand.com,e27cb31b-e904-4c71-8835-fb51f37c3640,N,Failed to connect to server
126,176,Aurora Liebelt,2016304461544,Broca's Brain,science,1,4,$35.99,2021-01-18 06:47:49,mainz,Germany,Booksamillion.com,1ad27bbe-4643-4d82-8d53-46d5c3b5e791,N,Card declined
127,235,Luis Weinhage,6408115517026,Veil: Secret Wars of the CIA,history,2,8,$27.99,2021-01-19 10:26:19,cardiff,England,Audiobooksnow.com,56e70e94-2db4-4208-9084-9e855eadc835,Y,
128,235,Luis Weinhage,0704366660976,Artist and the Mathematician,science,1,2,$36.99,2021-02-03 05:59:47,cardiff,England,Albris.com,8a45cf47-03b8-4c2a-94f0-3eac7414781e,Y,
129,211,Itzel Rodrigues,7448529118944,Complete Mastermind,nonfiction,1,8,$38.99,2021-08-26 23:18:22,Houston,United States,Albris.com,c14a7536-7961-44fe-9b5f-7158fd9dc1a8,N,Failed to connect to server
130,490,Georges Davis,1097951942649,Story of Philosophy,philosophy,2,4,$29.99,2021-07-10 07:15:23,Paris,France,Booktopia.com,bb9234f8-f397-4ad9-9848-a9c9d078c202,Y,
