order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,quantity,price,datetime,city,country(state),ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
42,5, Brandon Johnson,200787,CR-V,Honda,Wallet,14,26800,12/21/2021 7:59,Baton Rouge,Louisiana,Car Max,hU-800397,?chore,
43,17, Maria Garcia,201278,Outback,Subaru,Card,13,26945,02-04-2021 21:24,Jackson,Mississippi,AutoTrader,xf-363998,?,
44,11, Chris Jones,100494,Highlander,Toyota,Wallet,17,35855,11/24/2021 17:29,Jackson,Mississippi,Car Max,fw-236458,#,Credit or debit card is expired 
45,19, Jordan Brown,300995,Altima,Nissan,Wallet,13,24900,01-12-2021 18:36,Savannah,Georgia,AutoTrader,ur-304415,25,
46,14, Kumar Singh,201081,Tucson,Hyundai,Card,4,24950,10-11-2021 18:20,Kingsport,Tennessee,Carfax,zu-934411,Y,Credit Card
47,22, Jenny Pickard,100243,F-150,Ford,UPI,3,45525,3/16/2021 5:47,Bowling Green,Kentucky,Carvana,pi-778687,Y,Incorrect Pin
48,5, Brandon Johnson,200261,Escape,Ford,Card,11,27185,2/22/2021 14:17,Lynchburg,Virginia,Carfax,zO-903953,N,Incorrect Pin
49,7, Calvin Harris,300804,Model 3,Tesla,UPI,1,46990,1/29/2021 20:08,Greenville,South Carolina,Carvana,Justin,Y,
50,16, Dave Hernandez,300479,Camry,Toyota,Internet Banking,6,25945,6/29/2021 12:43,Paducah,Kentucky,Carvana,Nithia,Y,
51,19, Jordan Brown,200528,Grand Cherokee,Jeep,UPI,7,39000,12/20/2021 11:31,Knoxville,Tennessee,Carfax,James,Y,
52,20, Ryan Collier,300479,Camry,Toyota,Internet Banking,15,25945,1/28/2021 11:09,Bowling Green,Kentucky,Car Max,Mini,Y,
53,17, Maria Garcia,200528,Grand Cherokee,Jeep,UPI,9,39000,01-08-2021 14:14,Charleston,West Virginia,eBay,Ajith,Y,
54,9, Chloe Howells,100145,Silverado,Chevrolet,Wallet,16,34600,7/26/2021 3:53,Bowling Green,Kentucky,AutoTrader,Nidhiya,Y,
55,1, John Smith,400562,Wrangler,Jeep,Wallet,18,30295,02-12-2021 20:43,Greenville,South Carolina,Car Max,Novah,Y,
56,20, Ryan Collier,100494,Highlander,Toyota,UPI,5,35855,11-12-2021 16:00,Huntsville,Alabama,AutoTrader,od-055404,Please,
57,16, Dave Hernandez,200967,Rogue,Nissan,Internet Banking,15,27150,06-06-2021 03:50,Greenville,South Carolina,AutoTrader,Ns-098844,__00,
58,10, Max Halloway,200261,Escape,Ford,Card,21,27185,02-12-2021 06:31,New Orleans,Louisiana,Car Max,BU-348406,N,holla
59,24, Amy Barnes,201081,Tucson,Hyundai,Wallet,4,24950,11/27/2021 23:58,North Little Rock,Arkansas,Car Max,not,Y,
60,4, Rashid Matthews,300995,Altima,Nissan,UPI,12,24900,8/28/2021 13:08,Roanoke,Virginia,Carfax,null,Y,
61,7, Calvin Harris,200528,Grand Cherokee,Jeep,Internet Banking,10,39000,12/25/2021 19:22,Fort Smith,Arkansas,Carfax,fake,Y,
62,1, John Smith,200967,Rogue,Nissan,Card,6,27150,10-05-2021 03:11,Beckley,West Virginia,Carvana,if,Y,
63,3,Alexander Hopkins,100243,F-150,Ford,Wallet,12,45525,05-04-2021 22:44,New Orleans,Louisiana,Carvana,else,Y,
64,25, Karen Smith,201081,Tucson,Hyundai,Card,13,24950,02-09-2021 23:58,Montgomery,Alabama,Car Max,for,Y,
65,5, Brandon Johnson,300723,Accord,Honda,UPI,8,26520,5/21/2021 22:01,Huntington,West Virginia,eBay,while,Y,
66,10, Max Halloway,300804,Model 3,Tesla,Wallet,3,46990,12/29/2021 13:55,New Orleans,Louisiana,eBay,faker,1,
67,6, Alex Poppins,100243,F-150,Ford,Internet Banking,12,45525,5/20/2021 3:54,Birmingham,Alabama,Carfax,EY-079826,2,
68,13, James Rodriguez,200482,RAV4,Toyota,Wallet,1,26975,04-09-2021 07:04,Jackson,Mississippi,AutoTrader,MU-370084,3,
69,9, Chloe Howells,100409,Tacoma,Toyota,Wallet,19,27150,12/15/2021 22:52,Elkins,West Virginia,Carfax,Lf-371648,4,
70,18, Susan Boyle,200794,HR-V,Honda,Internet Banking,7,23650,08-09-2021 08:35,Cape Hatteras,North Carolina,eBay,BE-730349,5,
71,22, Jenny Pickard,201081,Tucson,Hyundai,Card,4,24950,04-06-2021 09:03,Tupelo,Mississippi,Carvana,cj-668776,6,
72,21, Louis Way,400562,Wrangler,Jeep,UPI,5,30295,05-07-2021 08:14,Bowling Green,Kentucky,Car Max,xh-306007,7,Merchant account blocks the transaction
73,14, Kumar Singh,300451,Corolla,Toyota,Wallet,11,20425,8/14/2021 5:38,Augusta,Georgia,Carvana,ru-579087,8,
74,4, Rashid Matthews,100648,Sierra,GMC,UPI,11,37195,6/17/2021 10:50,Dulles,Virginia,Carvana,JY-594228,9,
75,20, Ryan Collier,300451,Corolla,Toyota,Card,13,20425,8/27/2021 16:17,Lexington,Kentucky,Carfax,xN-069819,10,
76,2, Mary Jane,200967,Rogue,Nissan,Card,11,27150,02-01-2021 17:30,Columbia,South Carolina,Carfax,BB-326749,Y,20
77,25, Karen Smith,300479,Camry,Toyota,Internet Banking,14,25945,3/13/2021 15:01,Fort Smith,Arkansas,Car Max,tc-027765,N,21
78,18, Susan Boyle,100145,Silverado,Chevrolet,Card,17,34600,11-07-2021 06:23,Meridian,Mississippi,Carfax,Ty-453232,Y,22
79,3,Alexander Hopkins,201278,Outback,Subaru,Internet Banking,6,26945,1/21/2021 12:36,Atlanta,Georgia,AutoTrader,se-385104,Y,23
80,4, Rashid Matthews,200967,Rogue,Nissan,Internet Banking,10,27150,6/15/2021 5:34,Johnson City,Tennessee,AutoTrader,rA-775990,N,24
81,20, Ryan Collier,400562,Wrangler,Jeep,UPI,12,30295,02-06-2021 21:13,Huntington,West Virginia,Carvana,dV-492422,N,25
82,3,Alexander Hopkins,201081,Tucson,Hyundai,UPI,3,24950,01-05-2021 20:26,Baton Rouge,Louisiana,AutoTrader,gU-170891,Y,26
83,21, Louis Way,201137,CX-5,Mazda,UPI,12,26250,03-11-2021 13:43,Jackson,Mississippi,Carfax,Vc-294778,Y,27
84,19, Jordan Brown,200261,Escape,Ford,Wallet,14,27185,8/13/2021 15:54,Tupelo,Mississippi,Car Max,eX-034771,Y,28
85,17, Maria Garcia,100379,1500,Ram,UPI,4,33975,8/21/2021 1:06,Beckley,West Virginia,AutoTrader,Qh-723321,Y,29
86,20, Ryan Collier,200122,Equinox,Chevrolet,UPI,16,26300,11/20/2021 2:06,Elkins,West Virginia,Carfax,Ao-671297,Y,30
87,25, Karen Smith,100145,Silverado,Chevrolet,Internet Banking,15,34600,04-11-2021 09:24,Lynchburg,Virginia,Carvana,uM-987444,Y,35
88,11, Chris Jones,300723,Accord,Honda,UPI,7,26520,5/13/2021 11:56,Spartanburg,South Carolina,AutoTrader,nE-331255,Y,40
89,17, Maria Garcia,200787,CR-V,Honda,Internet Banking,21,26800,04-05-2021 04:24,Fort Myers,Florida,Carfax,Xc-051719,N,debit card is canceled
90,21, Louis Way,300786,Civic,Honda,Wallet,13,22550,12/16/2021 0:57,Fort Smith,Arkansas,Carfax,AD-820009,n,
91,6, Alex Poppins,200528,Grand Cherokee,Jeep,Internet Banking,1,39000,4/13/2021 13:47,Roanoke,Virginia,Carvana,yY-247964,y,
92,9, Chloe Howells,200233,Explorer,Ford,Card,20,35510,5/21/2021 8:53,Augusta,Georgia,Carvana,nM-001428,h,
93,4, Rashid Matthews,100145,Silverado,Chevrolet,Card,6,34600,10-06-2021 10:04,Lexington,Kentucky,Carfax,BA-543332,j,
94,17, Maria Garcia,400562,Wrangler,Jeep,Card,16,30295,4/20/2021 10:10,Jackson,Kentucky,AutoTrader,GO-004805,k,
95,13, James Rodriguez,300804,Model 3,Tesla,UPI,18,46990,02-03-2021 02:29,Huntington,West Virginia,eBay,QI-961898,l,
96,5, Brandon Johnson,100145,Silverado,Chevrolet,Internet Banking,3,34600,2/16/2021 21:56,Lake Charles,Louisiana,AutoTrader,Rq-673118,m,The billing address is invalid 
97,25, Karen Smith,100145,Silverado,Chevrolet,Wallet,21,34600,3/17/2021 10:34,Little Rock,Arkansas,Carvana,Hb-715110,n,
98,7, Calvin Harris,200261,Escape,Ford,Internet Banking,20,27185,2/14/2021 1:12,Knoxville,Tennessee,Car Max,QM-062452,o,
99,1, John Smith,200122,Equinox,Chevrolet,UPI,3,26300,4/17/2021 16:16,Fort Smith,Arkansas,eBay,gl-211554,p,
100,19, Jordan Brown,200233,Explorer,Ford,UPI,18,35510,4/15/2021 1:15,Bristol,Tennessee,eBay,Uf-329609,q,
101,25, Karen Smith,200967,Rogue,Nissan,Card,13,27150,01-05-2021 14:11,Spartanburg,South Carolina,eBay,eh-094954,roar,
102,9, Chloe Howells,100648,Sierra,GMC,Wallet,4,37195,08-08-2021 23:12,Fort Smith,Arkansas,AutoTrader,Se-601221,Sour,
103,14, Kumar Singh,201081,Tucson,Hyundai,Card,6,24950,05-04-2021 04:21,Huntsville,Alabama,Car Max,sZ-935043,t,
104,19, Jordan Brown,300804,Model 3,Tesla,Wallet,18,46990,7/18/2021 1:48,Dulles,Virginia,Carvana,Gr-128282,u,
105,12, Eric Kemsley,300479,Camry,Toyota,Card,4,25945,2/21/2021 16:00,Orlando,Florida,Carfax,IH-462515,v,
106,11, Chris Jones,300995,Altima,Nissan,Internet Banking,19,24900,12/27/2021 20:07,Columbia,South Carolina,Carvana,CK-139217,w,Incorrect Pin
107,8, Justin Thomas,100145,Silverado,Chevrolet,Wallet,11,34600,02-10-2021 08:22,Dulles,Virginia,Carfax,mp-544423,x,Credit or debit card is expired 
108,25, Karen Smith,201278,Outback,Subaru,Wallet,5,26945,6/17/2021 17:21,Charleston,West Virginia,eBay,rm-082159,y,
109,16, Dave Hernandez,300723,Accord,Honda,Wallet,17,26520,6/26/2021 21:13,Asheville,North Carolina,Carvana,Wc-836783,z,
110,24, Amy Barnes,200233,Explorer,Ford,Card,16,35510,7/26/2021 12:33,Mobile,Alabama,eBay,fM-585583,a,
111,7, Calvin Harris,100145,Silverado,Chevrolet,UPI,10,34600,7/23/2021 17:37,Lake Charles,Louisiana,eBay,b,N,The payment gateway does not support
112,14, Kumar Singh,201137,CX-5,Mazda,Wallet,20,26250,5/28/2021 3:50,Louisville,Kentucky,eBay,c,N,Credit or debit card is expired 
113,14, Kumar Singh,201278,Outback,Subaru,Card,16,26945,02-02-2021 10:07,Fort Smith,Arkansas,Carfax,df,Y,
114,20, Ryan Collier,200794,HR-V,Honda,Card,10,23650,04-07-2021 02:24,Columbus,Georgia,eBay,e,N,Credit or debit card is expired 
115,2, Mary Jane,100409,Tacoma,Toyota,Wallet,8,27150,10/29/2021 8:16,Tupelo,Mississippi,eBay,f,N,Garden
116,23, Usamah Khan,100648,Sierra,GMC,UPI,3,37195,11-10-2021 17:34,Meridian,Mississippi,Carfax,Gg-896765,Y,h
117,20, Ryan Collier,200787,CR-V,Honda,Card,16,26800,04-11-2021 14:21,Winston-Salem,North Carolina,eBay,tU-959362,Y,j
118,13, James Rodriguez,200787,CR-V,Honda,UPI,15,26800,9/22/2021 0:36,Jacksonville,Florida,eBay,yT-052159,Y,Kinder
119,12, Eric Kemsley,200794,HR-V,Honda,Card,13,23650,2/26/2021 1:13,Norfolk,Virginia,Carfax,GO-039296,Y,l
120,13, James Rodriguez,300723,Accord,Honda,Card,1,26520,08-08-2021 04:27,Jackson,Mississippi,Carvana,Jo-963863,Y,m
121,17, Maria Garcia,300857,Model Y,Tesla,Card,9,65990,06-06-2021 14:46,Columbus,Georgia,eBay,uW-410231,Y,n
122,1, John Smith,200261,Escape,Ford,UPI,18,27185,02-06-2021 01:10,Jackson,Mississippi,Carfax,sh-394470,Y,o
123,14, Kumar Singh,300786,Civic,Honda,Card,6,22550,8/17/2021 21:20,Beckley,West Virginia,Carvana,ppp,Y,
124,11, Chris Jones,201278,Outback,Subaru,Wallet,8,26945,07-05-2021 13:19,Huntsville,Alabama,AutoTrader,q,N,Credit or debit card is canceled
125,10, Max Halloway,200122,Equinox,Chevrolet,Internet Banking,20,26300,01-09-2021 12:19,Louisville,Kentucky,eBay,r,Y,
126,25, Karen Smith,200233,Explorer,Ford,Wallet,5,35510,4/14/2021 20:14,Norfolk,Virginia,AutoTrader,rI-585810,Y,
127,12, Eric Kemsley,300479,Camry,Toyota,UPI,11,25945,11/23/2021 5:17,Dulles,Virginia,eBay,Og-629216,Y,
128,14, Kumar Singh,201081,Tucson,Hyundai,UPI,19,24950,10/29/2021 2:17,Greenville,South Carolina,Carfax,HK-080643,Y,
129,9, Chloe Howells,200528,Grand Cherokee,Jeep,Card,15,39000,4/29/2021 3:40,Shreveport,Louisiana,AutoTrader,zE-027564,Y,
130,19, Jordan Brown,200261,Escape,Ford,Internet Banking,15,27185,10/13/2021 23:44,Columbus,Georgia,Carvana,mA-964622,Y,
131,16, Dave Hernandez,300995,Altima,Nissan,UPI,15,24900,12/25/2021 20:10,Memphis,Tennessee,Carfax,Fi-060507,Y,
132,21, Louis Way,100648,Sierra,GMC,Internet Banking,12,37195,6/14/2021 20:15,Greensboro,North Carolina,Carfax,Of-552383,Y,
133,21, Louis Way,200233,Explorer,Ford,Internet Banking,6,35510,11/29/2021 21:28,Asheville,North Carolina,eBay,LG-847505,Y,
134,12, Eric Kemsley,100145,Silverado,Chevrolet,UPI,14,34600,9/18/2021 3:34,Lynchburg,Virginia,AutoTrader,BN-791120,Y,
135,2, Mary Jane,200794,HR-V,Honda,Wallet,7,23650,11-01-2021 11:49,Cape Hatteras,North Carolina,eBay,AT-751046,Y,
136,25, Karen Smith,300479,Camry,Toyota,Internet Banking,11,25945,08-09-2021 23:03,Tupelo,Mississippi,AutoTrader,iU-286297,Y,
137,8, Justin Thomas,201137,CX-5,Mazda,UPI,12,26250,8/14/2021 18:57,Charlotte,North Carolina,eBay,QM-313639,N,The consumers account is suspended or closed 
138,15, Micheal Smith,300995,Altima,Nissan,Internet Banking,8,24900,09-10-2021 20:41,Tupelo,Mississippi,eBay,GR-754027,Y,
139,14, Kumar Singh,200482,RAV4,Toyota,Card,3,26975,04-11-2021 13:45,Huntington,West Virginia,Carvana,tZ-941783,N,The payment gateway does not support
140,11, Chris Jones,100409,Tacoma,Toyota,Card,12,27150,2/26/2021 6:58,Columbia,South Carolina,eBay,Jt-726767,Y,
141,11, Chris Jones,201081,Tucson,Hyundai,Wallet,1,24950,4/26/2021 20:07,Montgomery,Alabama,AutoTrader,CF-003721,Y,
142,12, Eric Kemsley,200482,RAV4,Toyota,Wallet,5,26975,11/30/2021 3:35,Raleigh,North Carolina,eBay,hF-890611,Y,
143,24, Amy Barnes,201081,Tucson,Hyundai,UPI,6,24950,08-02-2021 04:46,Baton Rouge,Louisiana,Car Max,dw-988980,Y,
144,1, John Smith,201081,Tucson,Hyundai,Card,15,24950,09-06-2021 15:41,Pensacola,Florida,eBay,If-750428,Y,
145,1, John Smith,200794,HR-V,Honda,UPI,2,23650,7/24/2021 12:52,Lynchburg,Virginia,Carvana,HD-436292,N,The payment gateway does not support
146,4, Rashid Matthews,201137,CX-5,Mazda,Card,14,26250,12/23/2021 21:27,Baton Rouge,Louisiana,eBay,Ao-482225,Y,
147,18, Susan Boyle,100494,Highlander,Toyota,Wallet,14,35855,03-04-2021 02:57,Tampa,Florida,Car Max,nf-358141,N,Credit or debit card is expired 
148,22, Jenny Pickard,200261,Escape,Ford,Internet Banking,2,27185,7/29/2021 11:20,Chattanooga,Tennessee,AutoTrader,DH-557764,N,The consumers account is suspended or closed 
149,12, Eric Kemsley,200122,Equinox,Chevrolet,Card,10,26300,08-09-2021 04:58,North Little Rock,Arkansas,Carvana,nJ-527427,N,Incorrect Pin
150,23, Usamah Khan,200528,Grand Cherokee,Jeep,Wallet,14,39000,10-02-2021 21:07,Richmond,Virginia,AutoTrader,cJ-489855,Y,
151,6, Alex Poppins,300995,Altima,Nissan,Internet Banking,4,24900,10/16/2021 4:46,Little Rock,Arkansas,Car Max,Qn-718885,Y,
152,7, Calvin Harris,201081,Tucson,Hyundai,UPI,20,24950,2/16/2021 22:04,Key West,Florida,Car Max,mU-307254,Y,
153,11, Chris Jones,200261,Escape,Ford,Card,13,27185,12/22/2021 20:07,Bowling Green,Kentucky,Carvana,fj-277586,Y,
154,2, Mary Jane,100648,Sierra,GMC,Internet Banking,4,37195,12-01-2021 02:38,Greenville,South Carolina,Car Max,Ee-324997,Y,
155,16, Dave Hernandez,201278,Outback,Subaru,Internet Banking,11,26945,7/27/2021 18:02,Bowling Green,Kentucky,Carvana,zG-359031,Y,
156,13, James Rodriguez,201137,CX-5,Mazda,Wallet,16,26250,06-11-2021 02:56,Montgomery,Alabama,Carvana,uo-763103,N,The payment gateway does not support
157,1, John Smith,201137,CX-5,Mazda,Wallet,14,26250,05-06-2021 10:22,Savannah,Georgia,Car Max,UM-505102,N,Incorrect Pin
158,12, Eric Kemsley,100648,Sierra,GMC,Card,17,37195,2/28/2021 23:17,Columbus,Georgia,Carvana,HY-469446,Y,
159,14, Kumar Singh,200233,Explorer,Ford,UPI,18,35510,11/26/2021 8:51,Huntsville,Alabama,Car Max,Oh-080455,Y,
160,20, Ryan Collier,200787,CR-V,Honda,UPI,2,26800,12/21/2021 13:46,Lake Charles,Louisiana,Car Max,DW-695827,Y,
161,21, Louis Way,300479,Camry,Toyota,Internet Banking,7,25945,02-02-2021 22:48,Columbia,South Carolina,Carvana,Wf-473714,Y,
162,5, Brandon Johnson,201081,Tucson,Hyundai,UPI,10,24950,3/15/2021 6:57,Nashville,Tennessee,Carfax,MU-698999,Y,
163,23, Usamah Khan,100494,Highlander,Toyota,UPI,5,35855,11/15/2021 17:19,Richmond,Virginia,Car Max,YF-102556,N,Merchant account blocks the transaction
164,14, Kumar Singh,201081,Tucson,Hyundai,Card,1,24950,11/30/2021 8:27,Little Rock,Arkansas,Carvana,zJ-746033,Y,
165,13, James Rodriguez,100409,Tacoma,Toyota,Wallet,20,27150,9/22/2021 15:44,Nashville,Tennessee,AutoTrader,Fw-727037,N,Credit or debit card is expired 
166,12, Eric Kemsley,300804,Model 3,Tesla,Wallet,9,46990,11-05-2021 08:20,Charleston,West Virginia,AutoTrader,Ju-890101,Y,
167,21, Louis Way,200967,Rogue,Nissan,Card,17,27150,6/30/2021 21:58,Louisville,Kentucky,eBay,Cs-261314,Y,
168,23, Usamah Khan,201081,Tucson,Hyundai,UPI,4,24950,11/24/2021 0:18,Raleigh,North Carolina,AutoTrader,xC-228533,Y,
169,19, Jordan Brown,200794,HR-V,Honda,Internet Banking,15,23650,12-05-2021 12:12,Bowling Green,Kentucky,Car Max,Uf-578049,Y,
170,23, Usamah Khan,100648,Sierra,GMC,UPI,20,37195,8/30/2021 16:33,Atlanta,Georgia,Carfax,Kd-734123,Y,
171,6, Alex Poppins,200122,Equinox,Chevrolet,Card,10,26300,2/24/2021 7:18,Greenville,South Carolina,eBay,CK-774249,N,The payment gateway does not support
172,21, Louis Way,100379,1500,Ram,Wallet,20,33975,5/27/2021 20:36,Lake Charles,Louisiana,Carvana,SU-411772,Y,
173,17, Maria Garcia,100648,Sierra,GMC,Wallet,17,37195,12/14/2021 11:57,Tupelo,Mississippi,Carvana,js-104071,Y,
174,12, Eric Kemsley,300451,Corolla,Toyota,UPI,21,20425,5/23/2021 15:26,Birmingham,Alabama,AutoTrader,RI-848327,Y,
175,3,Alexander Hopkins,200261,Escape,Ford,Card,7,27185,07-03-2021 09:47,Macon,Georgia,AutoTrader,Ag-473223,N,Merchant account blocks the transaction
176,24, Amy Barnes,201081,Tucson,Hyundai,Card,9,24950,12-03-2021 02:37,Columbia,South Carolina,Carfax,Fp-861980,Y,
177,2, Mary Jane,200233,Explorer,Ford,Card,2,35510,03-11-2021 08:14,Athens,Georgia,Carvana,CS-143211,Y,
178,25, Karen Smith,201278,Outback,Subaru,UPI,2,26945,10/18/2021 15:10,Columbus,Georgia,Carfax,sL-113906,Y,
179,6, Alex Poppins,300804,Model 3,Tesla,Wallet,4,46990,8/20/2021 0:07,Elkins,West Virginia,Carvana,hu-301533,Y,
180,13, James Rodriguez,300804,Model 3,Tesla,UPI,12,46990,02-04-2021 20:44,Little Rock,Arkansas,Carfax,RB-875049,Y,
181,14, Kumar Singh,100409,Tacoma,Toyota,UPI,4,27150,1/21/2021 16:34,Kingsport,Tennessee,eBay,az-161271,Y,
182,10, Max Halloway,201278,Outback,Subaru,Card,17,26945,1/18/2021 18:56,Jacksonville,Florida,AutoTrader,Ut-516003,Y,
183,14, Kumar Singh,100243,F-150,Ford,Wallet,16,45525,06-10-2021 07:56,Fort Smith,Arkansas,AutoTrader,Zj-379671,Y,
184,25, Karen Smith,201081,Tucson,Hyundai,UPI,13,24950,3/19/2021 12:30,Tampa,Florida,Carvana,sW-960196,Y,
185,24, Amy Barnes,201278,Outback,Subaru,Card,13,26945,5/19/2021 18:50,Memphis,Tennessee,Carfax,ku-237057,Y,
186,17, Maria Garcia,300804,Model 3,Tesla,UPI,6,46990,9/18/2021 8:39,Greenville,South Carolina,AutoTrader,bG-872727,Y,
